序号,滤液高/cm,p=0.05MPa,Unnamed: 3,滤液高/cm.1,p=0.10Mpa,Unnamed: 6,滤液高/cm.2,p=0.15Mpa,Unnamed: 9
,,θ/s,Δθ/s,,θ/s,Δθ/s,,θ/s,Δθ/s
0.0,,,,,,,,,
1.0,,,,,,,,,
2.0,,,,,,,,,
3.0,,,,,,,,,
4.0,,,,,,,,,
5.0,,,,,,,,,
6.0,,,,,,,,,
7.0,,,,,,,,,
8.0,,,,,,,,,
9.0,,,,,,,,,
10.0,,,,,,,,,
