参数/序号,1,2,3,4,5,6
Δp,0.77,1.37,1.98,2.58,3.18,3.77
t入,33.6,32.7,33.9,35.7,37.8,40.5
t出,64.8,65.0,64.6,64.8,65.8,65.8
t平,49.2,48.85,49.25,50.25,51.8,53.15
ρ,1.0944064,1.095638225,1.094230625,1.090725625,1.0853324,1.080674225
λ,0.0282875872,0.02826027355,0.02829148875,0.02836949875,0.0284903352,0.02859550155
μ,1.95805872e-05,1.956377355e-05,1.958298875e-05,1.963099875e-05,1.97053352e-05,1.977000155e-05
Pr,0.695658134321191,0.695732558390256,0.695647509668433,0.695435401154206,0.695108068647784,0.694824377289161
Pr^0.4,0.8648849642022,0.864921974445793,0.86487968048937,0.864774187333911,0.864611349098851,0.864470183822395
V_t,19.9256621782351,26.5633844715231,31.9547095789594,36.5349743883173,40.662014268032,44.3690357882096
V修,20.9389965872994,27.9660284447619,33.5521848827764,38.2561460812103,42.4927529712076,46.1585090951468
u_m,18.514137834739,24.7273981424023,29.6666448645947,33.8258597359459,37.5718426719473,40.8130827124712
W_c,0.00636549218742184,0.00851129160153293,0.0101982856206655,0.0115908219012554,0.0128107671013466,0.0138561975120981
Q,199.596373028799,276.289292323161,314.652805397205,338.979381913165,360.494986231894,352.314606041363
α_i,53.8054698352765,75.0133172920381,84.7352780654778,89.469725104006,92.3014141226685,87.9156649027229
Nu_i,38.0417526987077,53.0874672244905,59.9016041992331,63.0745899971222,64.7948951633735,61.4891574809415
Re_i,20695.9992873151,27696.3772253538,33153.4187822464,37588.2373296488,41387.7132925574,44618.7587983884
Nu/Pr^0.4,43.9847543584004,61.3783309858751,69.2600433916302,72.9376418965283,74.9410648274586,71.1292981893918
Δt1,64.8,65.7,64.5,62.7,60.6,57.9
Δt2,33.6,33.4,33.8,33.6,32.6,32.6
Δt_m,47.5045251433007,47.7427137405651,47.5081862448936,46.6469214502707,45.1625574453512,44.0455702205572
K_o,50.6598459048242,69.7755315107727,79.8563320360841,87.6186377987595,96.2425014719873,96.4438662086723
