序号,V_空 (m³/h),t_空 (°C),p_空 (kPa),p_孔板压降 (kPa),全塔压降,Unnamed: 6
,,,,,U管水柱 (mmH2O),仪器显示 (kPa)
1.0,16.0,40.6,2.2,0.27,349,3.5
2.0,13.0,42.5,0.4,0.18,159,1.6
3.0,10.0,44.0,-0.3,0.1,90,0.9
4.0,7.0,44.5,-0.8,0.05,40,0.4
5.0,6.0,44.3,-1.1,0.03,26,0.3
6.0,4.0,44.5,-1.2,0.01,11,0.1
